Instant, Gate ID, Position, Vehicle Type, Vehicle ID, Priority, Time On Road,Time On Preselector, Action
0,G0,4,Commercial Truck,V1,3,1,0,Se movio de pos: 4 a pos: 3
1,G0,,,,,,,Se rompió la caja y no se puede cobrar
1,V1,,,,,,,Volvio al preselector para replanificación
2,G0,,,,,,,La caja sigue rota
2,G1,4,Commercial Truck,V1,2,2,1,Se movio de pos: 4 a pos: 3
3,G0,,,,,,,La caja sigue rota
3,G1,3,Commercial Truck,V1,2,3,1,Se movio de pos: 3 a pos: 2
4,G0,,,,,,,La caja sigue rota
4,G1,2,Commercial Truck,V1,2,4,1,Se movio de pos: 2 a pos: 1
4,G1,4,Commercial Truck,V2,3,1,0,Se movio de pos: 4 a pos: 3
5,G0,,,,,,,La caja sigue rota
5,G1,1,Commercial Truck,V1,2,5,1,Se movio de pos: 1 a pos: 0
5,G1,3,Commercial Truck,V2,3,2,0,Se movio de pos: 3 a pos: 2
6,G0,,,,,,,La caja sigue rota
6,G1,0,Commercial Truck,V1,2,6,1,Pasó un instante en la caja
6,G1,2,Commercial Truck,V2,3,3,0,Se movio de pos: 2 a pos: 1
7,G0,,,,,,,La caja sigue rota
7,G1,0,Commercial Truck,V1,2,7,1,Pasó un instante en la caja
7,G1,1,Commercial Truck,V2,3,4,0,Espera en posición: 1
8,G0,,,,,,,La caja sigue rota
8,G1,0,Commercial Truck,V1,2,8,1,Se le cobró lo correspondiente
8,G1,1,Commercial Truck,V2,3,5,0,Se movio de pos: 1 a pos: 0
9,G0,,,,,,,La caja sigue rota
9,G1,0,Commercial Truck,V2,3,6,0,Pasó un instante en la caja
10,G0,,,,,,,La caja sigue rota
10,G1,0,Commercial Truck,V2,3,7,0,Pasó un instante en la caja
11,G0,,,,,,,La caja sigue rota
11,G1,0,Commercial Truck,V2,3,8,0,Se le cobró lo correspondiente
